rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,-8.06673994492656,21.017198187912882,"('ecoinvent_3.10.1.1_consequential_unitprocess', '7feee803d7617b42630c276a615c7956')","heat production, at hard coal industrial furnace 1-10MW",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,7feee803d7617b42630c276a615c7956
2,-6.263682788430503,16.319487605827508,"('ecoinvent_3.10.1.1_consequential_unitprocess', '42327f8e330c6020019db8778942440b')","electricity production, hard coal",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,42327f8e330c6020019db8778942440b
3,-3.7351338722055116,9.731570546029841,"('ecoinvent_3.10.1.1_consequential_unitprocess', '9a8e8330e5fc29384d5605fe6cc3cd69')","aluminium production, primary, liquid, prebake",CA,ecoinvent_3.10.1.1_consequential_unitprocess,9a8e8330e5fc29384d5605fe6cc3cd69
4,-1.7807965381305113,4.639712452584692,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'c9f6ade6f2d9519abce2145d41df16a6')",hard coal mine operation and hard coal preparation,CN,ecoinvent_3.10.1.1_consequential_unitprocess,c9f6ade6f2d9519abce2145d41df16a6
5,-1.3343003917226584,3.4764050863796885,"('ecoinvent_3.10.1.1_consequential_unitprocess', '622d8d12d870eb02a3ef56cee26020ce')","electricity production, natural gas, conventional power plant",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,622d8d12d870eb02a3ef56cee26020ce
6,-1.155845332328211,3.011455754117185,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'f9aeabbfa9e8944930145fcce0102976')","aluminium production, primary, liquid, prebake",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,f9aeabbfa9e8944930145fcce0102976
7,-0.9889426216548036,2.5766050743789504,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'fc7517472a4a0bdbcd1a2c18ca01c4e4')","electricity production, lignite",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,fc7517472a4a0bdbcd1a2c18ca01c4e4
8,-0.9880054171179831,2.5741632684415525,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'f8027e13c3672f267e1d96eaf7b2f395')",natural gas venting from petroleum/natural gas production,GLO,ecoinvent_3.10.1.1_consequential_unitprocess,f8027e13c3672f267e1d96eaf7b2f395
9,-0.8813822973410829,2.296365886219745,"('ecoinvent_3.10.1.1_consequential_unitprocess', '3252febf4974507c969b7bbadfa2ea81')","heat and power co-generation, natural gas, 200kW electrical, lean burn",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,3252febf4974507c969b7bbadfa2ea81
10,-0.7253865344866511,1.8899323223798365,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'dc49ce9a97ca4ea267ac998d1d208245')","electricity production, natural gas, conventional power plant",CA-BC,ecoinvent_3.10.1.1_consequential_unitprocess,dc49ce9a97ca4ea267ac998d1d208245
11,-0.6735215977028987,1.754802683538154,"('ecoinvent_3.10.1.1_consequential_unitprocess', '6125492485cc8d40f699a5dce7aa7579')",hard coal mine operation and hard coal preparation,RoW,ecoinvent_3.10.1.1_consequential_unitprocess,6125492485cc8d40f699a5dce7aa7579
12,-0.6518600813163961,1.6983654627954454,"('ecoinvent_3.10.1.1_consequential_unitprocess', '1a1926586e4635dea5ecd205be7191ea')","aluminium production, primary, liquid, Söderberg","IAI Area, Russia & RER w/o EU27 & EFTA",ecoinvent_3.10.1.1_consequential_unitprocess,1a1926586e4635dea5ecd205be7191ea
13,-0.6194004836972898,1.6137947686961858,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'bfaaa6b4cf0c6574ef66ca9a02d64090')","heat production, heavy fuel oil, at industrial furnace 1MW",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,bfaaa6b4cf0c6574ef66ca9a02d64090
14,-0.5766090107305172,1.5023052606377274,"('ecoinvent_3.10.1.1_consequential_unitprocess', '64f09e9eed25892a0e71def7ce6f6984')","transport, freight, sea, container ship",GLO,ecoinvent_3.10.1.1_consequential_unitprocess,64f09e9eed25892a0e71def7ce6f6984
15,-0.4004473010188855,1.0433310540303211,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'c8851ed7b1ee1f9f7afe86857fd10c18')","transport, freight, sea, bulk carrier for dry goods",GLO,ecoinvent_3.10.1.1_consequential_unitprocess,c8851ed7b1ee1f9f7afe86857fd10c18
16,-0.37030952670141865,0.964809671154806,"('ecoinvent_3.10.1.1_consequential_unitprocess', '145d90a9fb52d5e8275b7ce5c12edb05')","coke production, wet quenching",CN,ecoinvent_3.10.1.1_consequential_unitprocess,145d90a9fb52d5e8275b7ce5c12edb05
17,-0.3281610283515185,0.8549953782445819,"('ecoinvent_3.10.1.1_consequential_unitprocess', '01a31c6bb3b89cd7d8219e08836ad847')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RU,ecoinvent_3.10.1.1_consequential_unitprocess,01a31c6bb3b89cd7d8219e08836ad847
18,-0.3128865038254435,0.8151989163055106,"('ecoinvent_3.10.1.1_consequential_unitprocess', 'e057b75f4addfb4c60ceb890b685b9d4')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",RoW,ecoinvent_3.10.1.1_consequential_unitprocess,e057b75f4addfb4c60ceb890b685b9d4
19,-0.29525857963060154,0.7692708736297937,"('ecoinvent_3.10.1.1_consequential_unitprocess', '6e06750cf9ec580c0335f9d38082a59b')","aluminium production, primary, liquid, prebake","IAI Area, Russia & RER w/o EU27 & EFTA",ecoinvent_3.10.1.1_consequential_unitprocess,6e06750cf9ec580c0335f9d38082a59b
20,-0.2949523437146096,0.7684730022489632,"('ecoinvent_3.10.1.1_consequential_unitprocess', '23f96312ffa8ce40afd858a31608ccf3')","sweet gas, burned in gas turbine",GLO,ecoinvent_3.10.1.1_consequential_unitprocess,23f96312ffa8ce40afd858a31608ccf3
