rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
1,0.5046582733216883,-3997.6700812741838,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'b079bc9b17424ef8a9fc1906de17bf97')","treatment of waste rubber, unspecified, municipal incineration",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,b079bc9b17424ef8a9fc1906de17bf97
2,-0.08131108938342706,644.1089475545663,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '7855a690cbb24da3a01b089010fa94b6')",pig iron production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,7855a690cbb24da3a01b089010fa94b6
3,-0.07889286557090414,624.952893852093,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'dcb55ad1916d4894b7b3d8aeb458f26d')","heat and power co-generation, lignite",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,dcb55ad1916d4894b7b3d8aeb458f26d
4,0.03256311105365775,-257.94994691276327,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'bf7b4e1d474643c3b3a886f620aec5b3')",sponge iron production,IN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,bf7b4e1d474643c3b3a886f620aec5b3
5,-0.031870067014028725,252.4599716786422,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5d82e47ac91443b1b6bfc70ebeb16c99')",hard coal mine operation and hard coal preparation,CN,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5d82e47ac91443b1b6bfc70ebeb16c99
6,-0.03097837094899406,245.3963667221319,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '68fd7ec5c59d4534911a247e06dc5220')","heat and power co-generation, hard coal",RU,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,68fd7ec5c59d4534911a247e06dc5220
7,0.02968187554865859,-235.12612813411437,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '49c157ed3e3d4884bcb9a61e6982ae93')","heat production, natural gas, at boiler modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,49c157ed3e3d4884bcb9a61e6982ae93
8,0.029681875465138723,-235.1261274725085,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'b2826940e4b549f2aa2962eaf8b98671')","heat production, natural gas, at boiler condensing modulating >100kW",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,b2826940e4b549f2aa2962eaf8b98671
9,0.029571607892969046,-234.25263862371582,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '7214c07373b0488e9f7aef0b434a272a')","heat production, natural gas, at industrial furnace low-NOx >100kW",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,7214c07373b0488e9f7aef0b434a272a
10,0.028460211964269847,-225.4486726778755,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '066daebe2c354a039012b8b027a18a4e')","heat production, natural gas, at industrial furnace >100kW",CA-QC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,066daebe2c354a039012b8b027a18a4e
