scenario,case,bg_db,method_0,method_1,method_2,method,score,solver,tech_shape,n_activities,n_products,error
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",climate change,global warming potential (GWP100),"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-0.12622179723360116,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",acidification: terrestrial,terrestrial acidification potential (TAP),"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",-0.03799087620756498,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",climate change,global warming potential (GWP1000),"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",-0.19423454398057222,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",43.121884335173874,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: marine,marine ecotoxicity potential (METP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",51.313618307329854,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ecotoxicity: terrestrial,terrestrial ecotoxicity potential (TETP),"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)",-71.30242457504899,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)","energy resources: non-renewable, fossil",fossil fuel potential (FFP),"ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)",-0.13719218685091217,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",eutrophication: freshwater,freshwater eutrophication potential (FEP),"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)",-0.0020263352986257415,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",eutrophication: marine,marine eutrophication potential (MEP),"ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)",4.1976187394173054e-05,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",human toxicity: carcinogenic,human toxicity potential (HTPc),"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)",2.3657368987323,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",human toxicity: non-carcinogenic,human toxicity potential (HTPnc),"ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)",-27.884535602663114,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ionising radiation,ionising radiation potential (IRP),"ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)",-0.00967556701497395,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",land use,agricultural land occupation (LOP),"ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)",-0.2541227457934627,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",material resources: metals/minerals,surplus ore potential (SOP),"ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)",0.11912170614579906,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",ozone depletion,ozone depletion potential (ODPinfinite),"ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)",-1.0442761363726762e-06,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",particulate matter formation,particulate matter formation potential (PMFP),"ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)",-0.009829548520114521,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",photochemical oxidant formation: human health,photochemical oxidant formation potential: humans (HOFP),"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)",-0.008166640517227201,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",photochemical oxidant formation: terrestrial ecosystems,photochemical oxidant formation potential: ecosystems (EOFP),"ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)",-0.008409826330307825,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,gateA_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",water use,water consumption potential (WCP),"ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)",-3.5188425516363264e-05,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,prep_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",climate change,global warming potential (GWP100),"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",-0.1215870062178238,standard,"(107090, 107090)",107090,107090,
SSP5H_2050,prep_only,prospective_conseq_IMAGE_SSP5H_2050_PERF,"ReCiPe 2016 v1.03, midpoint (H)",acidification: terrestrial,terrestrial acidification potential (TAP),"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",-0.037818762179837234,standard,"(107090, 107090)",107090,107090,
