route,scenario,project,fg_db,stage,scaling_note,method,total_score,flow_key,flow_name,flow_categories,flow_unit,contribution,percent_of_total_abs
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,1031,"Carbon dioxide, fossil",air / non-urban air or from high stacks,kilogram,-28.01325618453611,-55.47044090624601
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,107,"Carbon dioxide, fossil",air / urban air close to ground,kilogram,-7.916500582234037,-15.675856274554937
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,1390,"Methane, fossil",air / non-urban air or from high stacks,kilogram,-6.82420031110983,-13.512938217398876
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,1034,"Carbon dioxide, fossil",air,kilogram,-5.245010470945038,-10.385905924845853
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,1401,Tetrafluoromethane,air,kilogram,-1.6412297648585639,-3.2498806309926507
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,1653,Sulfur hexafluoride,air,kilogram,-0.26455450044073653,-0.5238575154030178
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,1182,Hexafluoroethane,air,kilogram,-0.15708270444459504,-0.3110472705096388
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,4193,Dinitrogen monoxide,air / non-urban air or from high stacks,kilogram,-0.13434927822880818,-0.2660316833464648
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,4192,Dinitrogen monoxide,air / urban air close to ground,kilogram,-0.06869700298032165,-0.13603035002977257
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,3215,"Carbon dioxide, from soil or biomass stock",air / non-urban air or from high stacks,kilogram,-0.06763328133328125,-0.1339240219266004
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,4195,Dinitrogen monoxide,air,kilogram,-0.06364276729327471,-0.12602220673655048
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,1357,"Methane, non-fossil",air / non-urban air or from high stacks,kilogram,-0.059165563835204465,-0.11715667364000096
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,394,"Methane, fossil",air / urban air close to ground,kilogram,-0.04254546557712174,-0.08424639101495211
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,1392,"Methane, fossil",air,kilogram,-0.002076653477988949,-0.004112084767108405
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,1266,"Hydrocarbons, chlorinated",air,kilogram,0.001399805531719417,0.0027718245075108896
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,1405,Trifluoromethane,air / non-urban air or from high stacks,kilogram,-0.0012663848457937779,-0.0025076315759375006
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,3208,"Carbon dioxide, from soil or biomass stock",air,kilogram,-0.0009763798973768757,-0.0019333783635401896
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,396,"Methane, non-fossil",air / urban air close to ground,kilogram,-0.00015419924263982695,-0.00030533758447410045
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,237,Hexafluoroethane,air / urban air close to ground,kilogram,-0.00011789233196799886,-0.00023344446610031635
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,c3c4,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-50.501232236251795,1359,"Methane, non-fossil",air,kilogram,-5.7639008159408345e-05,-0.00011413386487237588
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-27.109927208129296,107,"Carbon dioxide, fossil",air / urban air close to ground,kilogram,-10.392193306758747,-38.333534527685856
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-27.109927208129296,1031,"Carbon dioxide, fossil",air / non-urban air or from high stacks,kilogram,-6.262127385399196,-23.099019548534265
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-27.109927208129296,1034,"Carbon dioxide, fossil",air,kilogram,-5.818645544066333,-21.46315443562508
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-27.109927208129296,1390,"Methane, fossil",air / non-urban air or from high stacks,kilogram,-2.8036070596001244,-10.341625184295673
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-27.109927208129296,1401,Tetrafluoromethane,air,kilogram,-0.8653413237153043,-3.1919721402122367
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-27.109927208129296,3215,"Carbon dioxide, from soil or biomass stock",air / non-urban air or from high stacks,kilogram,-0.35730219116662165,-1.3179754723187878
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-27.109927208129296,1653,Sulfur hexafluoride,air,kilogram,-0.1853369127422268,-0.6836496141039099
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-27.109927208129296,1182,Hexafluoroethane,air,kilogram,-0.12668522691143982,-0.46730198107448795
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-27.109927208129296,394,"Methane, fossil",air / urban air close to ground,kilogram,-0.07482703888233849,-0.2760134260334736
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-27.109927208129296,4195,Dinitrogen monoxide,air,kilogram,-0.06942781632819255,-0.2560973911703224
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-27.109927208129296,4192,Dinitrogen monoxide,air / urban air close to ground,kilogram,-0.06860287731705283,-0.25305445046153163
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-27.109927208129296,1357,"Methane, non-fossil",air / non-urban air or from high stacks,kilogram,-0.04336672935583458,-0.15996623311784638
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-27.109927208129296,4193,Dinitrogen monoxide,air / non-urban air or from high stacks,kilogram,-0.03869870285664923,-0.14274735066439012
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-27.109927208129296,1392,"Methane, fossil",air,kilogram,-0.0016726301912926495,-0.006169807017375862
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-27.109927208129296,1405,Trifluoromethane,air / non-urban air or from high stacks,kilogram,-0.0008626721171796513,-0.003182126276314629
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-27.109927208129296,3208,"Carbon dioxide, from soil or biomass stock",air,kilogram,-0.000596257640682068,-0.002199407014649865
MS-FSC,contemporary,pCLCA_CA_2025_contemp,mtcw_foreground_contemporary,stageD,Gate scrap=3.67 kg -> inferred billet_out=3.303000 kg,"ReCiPe 2016 v1.03, midpoint (H) no LT | climate change no LT | global warming potential (GWP100) no LT",-27.109927208129296,396,"Methane, non-fossil",air / urban air close to ground,kilogram,-0.00037596512905930266,-0.0013868171838785468
