mode,scenario,fg_db,route,case,"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)","ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: terrestrial | terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H) | energy resources: non-renewable, fossil | fossil fuel potential (FFP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: freshwater | freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H) | eutrophication: marine | marine eutrophication potential (MEP)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: carcinogenic | human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H) | human toxicity: non-carcinogenic | human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H) | ionising radiation | ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H) | land use | agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H) | material resources: metals/minerals | surplus ore potential (SOP)","ReCiPe 2016 v1.03, midpoint (H) | ozone depletion | ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H) | particulate matter formation | particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: human health | photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H) | photochemical oxidant formation: terrestrial ecosystems | photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H) | water use | water consumption potential (WCP)"
prospect,SSP5H_2050,mtcw_foreground_prospective,landfill,c3c4,0.00024135145131711546,0.07731912274251818,0.08200082982807254,0.0299413006456296,0.04122532363041252,0.5840801923253034,0.031704273955092184,4.349014075165693e-06,3.8279042478218856e-05,0.004971328038876025,1.0748213129779733,-0.0001009487270092755,0.01400664171432673,0.00011057131963445743,7.039771001536134e-08,0.00011217103383427816,0.0004176617205421013,0.00043969691396394223,0.000655746663640878
prospect,SSP5H_2050,mtcw_foreground_prospective,recycling_postcons,c3c4,0.005151740142834866,2.944425581149856,2.9759141104081452,0.8716218393998373,1.205071082515703,43.8648817569052,0.8402585633481682,0.0010128845401773776,2.8978743480866037e-05,0.5134985099644392,33.80224362212343,-0.022932332751047606,0.036972005455521026,0.09243030590618277,2.169872888872288e-06,0.0020788069544799255,0.005828327554648727,0.00625313757003898,0.0020420691256248726
prospect,SSP5H_2050,mtcw_foreground_prospective,reuse,c3c4,2.8641407743964334e-05,0.0070768583073370014,0.009069602397823357,0.000885711250388591,0.0011855158302475665,0.04390887674801638,0.0017892629955136219,3.2152421783669196e-05,6.803289758186482e-05,0.004852530673721066,0.02889874374099446,9.14210073207844e-05,0.0005381343155748101,5.570450936493331e-05,1.0129055637386966e-08,1.5291047904013357e-05,1.801289582042361e-05,1.9165775089235128e-05,0.0014064395852321056
prospect,SSP5H_2050,mtcw_foreground_prospective,reuse,joint,-0.20149759840511933,-48.881994241087234,-49.830239013852186,-2.4693574451532427,-3.409462433787481,-57.85936473476699,-12.909426385141586,-0.00774373676975579,-0.0014121726381668106,-45.31460268164553,-47.57484783201486,0.037576534571990214,-0.7732343140652139,-0.9015285408697251,-8.990263918396586e-06,-0.07417264513080932,-0.09189701899158731,-0.099600712322118,-0.2077031062496578
prospect,SSP5H_2050,mtcw_foreground_prospective,reuse,staged_total,-0.20152623981286316,-48.88907109939458,-49.83930861625001,-2.470243156403633,-3.410647949617729,-57.90327361151501,-12.911215648137102,-0.00777588919153946,-0.0014802055357486764,-45.31945521231925,-47.603746575755835,0.03748511356466943,-0.7737724483807893,-0.9015842453790909,-9.00039297403397e-06,-0.0741879361787133,-0.09191503188740767,-0.09961987809720718,-0.20910954583489016
